date,hits,keyword,geo,time,gprop,category
2020-12-20T00:00:00Z,19,Fascismo,IT,2020-01-01 2022-02-28,web,0
2020-12-27T00:00:00Z,23,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-01-03T00:00:00Z,34,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-01-10T00:00:00Z,40,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-01-17T00:00:00Z,37,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-01-24T00:00:00Z,44,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-01-31T00:00:00Z,40,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-02-07T00:00:00Z,42,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-02-14T00:00:00Z,36,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-02-21T00:00:00Z,40,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-02-28T00:00:00Z,38,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-03-07T00:00:00Z,39,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-03-14T00:00:00Z,48,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-03-21T00:00:00Z,47,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-03-28T00:00:00Z,40,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-04-04T00:00:00Z,38,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-04-11T00:00:00Z,41,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-04-18T00:00:00Z,41,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-04-25T00:00:00Z,62,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-05-02T00:00:00Z,48,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-05-09T00:00:00Z,45,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-05-16T00:00:00Z,44,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-05-23T00:00:00Z,52,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-05-30T00:00:00Z,48,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-06-06T00:00:00Z,42,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-06-13T00:00:00Z,49,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-06-20T00:00:00Z,33,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-06-27T00:00:00Z,16,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-07-04T00:00:00Z,13,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-07-11T00:00:00Z,12,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-07-18T00:00:00Z,20,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-07-25T00:00:00Z,22,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-08-01T00:00:00Z,16,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-08-08T00:00:00Z,16,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-08-15T00:00:00Z,20,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-08-22T00:00:00Z,21,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-08-29T00:00:00Z,17,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-09-05T00:00:00Z,16,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-09-12T00:00:00Z,17,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-09-19T00:00:00Z,17,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-09-26T00:00:00Z,18,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-10-03T00:00:00Z,32,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-10-10T00:00:00Z,71,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-10-17T00:00:00Z,34,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-10-24T00:00:00Z,25,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-10-31T00:00:00Z,25,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-11-07T00:00:00Z,21,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-11-14T00:00:00Z,19,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-11-21T00:00:00Z,20,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-11-28T00:00:00Z,19,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-12-05T00:00:00Z,19,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-12-12T00:00:00Z,19,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-12-19T00:00:00Z,22,Fascismo,IT,2020-01-01 2022-02-28,web,0
2021-12-26T00:00:00Z,18,Fascismo,IT,2020-01-01 2022-02-28,web,0
2022-01-02T00:00:00Z,23,Fascismo,IT,2020-01-01 2022-02-28,web,0
2022-01-09T00:00:00Z,27,Fascismo,IT,2020-01-01 2022-02-28,web,0
2022-01-16T00:00:00Z,33,Fascismo,IT,2020-01-01 2022-02-28,web,0
2022-01-23T00:00:00Z,40,Fascismo,IT,2020-01-01 2022-02-28,web,0
2022-01-30T00:00:00Z,27,Fascismo,IT,2020-01-01 2022-02-28,web,0
2022-02-06T00:00:00Z,37,Fascismo,IT,2020-01-01 2022-02-28,web,0
2022-02-13T00:00:00Z,36,Fascismo,IT,2020-01-01 2022-02-28,web,0
2022-02-20T00:00:00Z,32,Fascismo,IT,2020-01-01 2022-02-28,web,0
2022-02-27T00:00:00Z,34,Fascismo,IT,2020-01-01 2022-02-28,web,0
2020-01-05T00:00:00Z,0,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2020-01-12T00:00:00Z,28,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2020-01-19T00:00:00Z,0,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2020-01-26T00:00:00Z,28,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2020-02-02T00:00:00Z,41,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2020-02-09T00:00:00Z,99,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2020-02-16T00:00:00Z,28,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2020-02-23T00:00:00Z,27,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2020-03-01T00:00:00Z,13,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2020-03-08T00:00:00Z,26,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2020-03-15T00:00:00Z,26,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2020-03-22T00:00:00Z,24,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2020-03-29T00:00:00Z,37,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2020-04-05T00:00:00Z,26,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2020-04-12T00:00:00Z,51,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2020-04-19T00:00:00Z,62,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2020-04-26T00:00:00Z,100,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2020-05-03T00:00:00Z,64,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2020-05-10T00:00:00Z,38,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2020-05-17T00:00:00Z,39,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2020-05-24T00:00:00Z,13,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
